Date,Open,High,Low,Close,Volume,Name
2010-01-04,329.85,332.1,323.85,325.2,2952340,BHARTIARTL
2010-01-05,328.25,332.0,325.5,330.35,4302024,BHARTIARTL
2010-01-06,332.95,335.15,326.1,326.85,4409919,BHARTIARTL
2010-01-07,328.35,334.0,328.0,329.4,3868937,BHARTIARTL
2010-01-08,329.75,331.45,324.65,325.05,2655707,BHARTIARTL
2010-01-11,331.0,331.0,325.5,328.95,3143217,BHARTIARTL
2010-01-12,330.1,333.9,320.4,322.25,6507716,BHARTIARTL
2010-01-13,321.5,321.95,315.25,318.4,4299714,BHARTIARTL
2010-01-14,319.2,322.6,317.2,318.05,3920034,BHARTIARTL
2010-01-15,318.0,322.5,316.0,317.4,4407407,BHARTIARTL
2010-01-18,317.0,322.7,316.15,320.7,3918998,BHARTIARTL
2010-01-19,321.0,325.8,318.1,320.55,3884885,BHARTIARTL
2010-01-20,321.55,332.3,321.55,331.5,9116756,BHARTIARTL
2010-01-21,330.0,333.0,321.2,322.4,3955328,BHARTIARTL
2010-01-22,318.7,330.0,315.0,322.15,8696121,BHARTIARTL
2010-01-25,322.15,331.75,318.4,330.9,5398902,BHARTIARTL
2010-01-27,329.5,331.8,320.0,322.9,5044367,BHARTIARTL
2010-01-28,324.0,327.85,311.0,313.65,7620843,BHARTIARTL
2010-01-29,311.0,313.9,304.15,306.4,6845712,BHARTIARTL
2010-02-01,305.0,313.7,305.0,311.2,3865282,BHARTIARTL
2010-02-02,314.5,315.7,306.1,307.65,4593595,BHARTIARTL
2010-02-03,310.0,312.75,306.5,309.0,3649370,BHARTIARTL
2010-02-04,307.0,309.0,300.5,304.1,2578956,BHARTIARTL
2010-02-05,302.0,304.45,294.4,300.05,3915719,BHARTIARTL
2010-02-06,301.5,303.0,299.5,300.4,388272,BHARTIARTL
2010-02-08,302.1,310.5,299.4,308.35,4808575,BHARTIARTL
2010-02-09,310.0,316.5,307.0,313.15,6126301,BHARTIARTL
2010-02-10,315.0,318.4,308.2,315.3,5417799,BHARTIARTL
2010-02-11,315.5,317.9,310.75,314.5,3372725,BHARTIARTL
2010-02-15,317.0,317.0,284.4,285.6,18972593,BHARTIARTL
2010-02-16,286.0,289.5,269.35,271.6,45045191,BHARTIARTL
2010-02-17,273.4,281.75,273.4,279.15,16132351,BHARTIARTL
2010-02-18,279.0,284.4,276.0,281.9,7016482,BHARTIARTL
2010-02-19,280.55,283.9,274.3,278.8,8798725,BHARTIARTL
2010-02-22,281.0,283.0,276.0,276.9,5662935,BHARTIARTL
2010-02-23,275.0,281.2,275.0,280.1,3739371,BHARTIARTL
2010-02-24,280.0,280.0,275.0,275.95,5201687,BHARTIARTL
2010-02-25,277.0,280.0,275.5,276.25,6428278,BHARTIARTL
2010-02-26,278.0,282.0,275.8,279.35,6424420,BHARTIARTL
2010-03-02,280.0,292.8,280.0,290.2,6263842,BHARTIARTL
2010-03-03,293.0,294.9,290.3,291.95,5097870,BHARTIARTL
2010-03-04,290.0,294.9,290.0,293.6,3301735,BHARTIARTL
2010-03-05,294.0,303.75,293.0,298.45,8167892,BHARTIARTL
2010-03-08,298.15,302.8,291.0,292.7,6256751,BHARTIARTL
2010-03-09,292.0,294.15,287.05,291.3,3785607,BHARTIARTL
2010-03-10,292.0,294.5,284.0,288.0,5385114,BHARTIARTL
2010-03-11,288.9,295.55,288.35,293.95,4030086,BHARTIARTL
2010-03-12,293.0,300.35,293.0,299.1,4044755,BHARTIARTL
2010-03-15,290.0,301.3,290.0,299.5,3134357,BHARTIARTL
2010-03-16,298.5,299.0,292.55,294.8,2742226,BHARTIARTL
2010-03-17,296.0,301.5,295.65,298.05,3330971,BHARTIARTL
2010-03-18,299.95,303.5,297.1,300.1,4489695,BHARTIARTL
2010-03-19,300.0,312.85,300.0,311.9,7665763,BHARTIARTL
2010-03-22,307.5,319.8,307.0,316.35,6679874,BHARTIARTL
2010-03-23,317.2,321.0,305.55,307.65,5619158,BHARTIARTL
2010-03-25,310.0,316.0,303.0,314.4,10257603,BHARTIARTL
2010-03-26,314.85,315.9,305.0,310.15,7188335,BHARTIARTL
2010-03-29,311.0,314.9,310.2,312.2,2796536,BHARTIARTL
2010-03-30,311.5,316.0,309.75,310.85,3334807,BHARTIARTL
2010-03-31,308.7,319.7,307.0,312.55,6789112,BHARTIARTL
2010-04-01,312.6,316.5,300.55,302.0,12995543,BHARTIARTL
2010-04-05,307.0,318.15,302.5,316.05,9680847,BHARTIARTL
2010-04-06,317.5,318.8,311.8,316.45,3721848,BHARTIARTL
2010-04-07,317.0,325.8,313.7,320.4,5200634,BHARTIARTL
2010-04-08,319.0,321.5,310.0,312.9,6198088,BHARTIARTL
2010-04-09,312.0,316.5,307.0,307.9,5843978,BHARTIARTL
2010-04-12,305.5,311.9,305.5,308.2,5310082,BHARTIARTL
2010-04-13,307.0,312.0,306.15,307.0,3060521,BHARTIARTL
2010-04-15,308.0,310.95,302.85,304.2,4444703,BHARTIARTL
2010-04-16,303.5,306.65,301.7,304.8,3743783,BHARTIARTL
2010-04-19,343.7,343.7,298.25,305.9,4336976,BHARTIARTL
2010-04-20,309.0,309.0,302.5,304.5,3389565,BHARTIARTL
2010-04-21,306.0,308.2,303.5,305.7,5064582,BHARTIARTL
2010-04-22,305.0,305.0,301.5,303.1,3793399,BHARTIARTL
2010-04-23,303.4,304.9,297.25,298.2,14354478,BHARTIARTL
2010-04-26,300.1,303.9,296.0,297.4,4296258,BHARTIARTL
2010-04-27,298.0,301.5,296.4,298.3,3089716,BHARTIARTL
2010-04-28,297.95,299.6,292.0,293.8,6046883,BHARTIARTL
2010-04-29,294.0,298.5,292.1,296.35,5241863,BHARTIARTL
2010-04-30,299.0,302.4,295.45,298.55,7303865,BHARTIARTL
2010-05-03,298.0,299.9,295.2,297.0,2995752,BHARTIARTL
2010-05-04,299.0,299.0,288.15,289.0,4264961,BHARTIARTL
2010-05-05,287.2,299.8,283.2,296.3,8898591,BHARTIARTL
2010-05-06,295.9,297.0,290.3,291.95,5121078,BHARTIARTL
2010-05-07,288.0,289.9,285.2,287.5,3053214,BHARTIARTL
2010-05-10,292.0,298.0,286.75,294.4,3409753,BHARTIARTL
2010-05-11,294.5,294.5,284.1,284.7,4736780,BHARTIARTL
2010-05-12,284.0,284.5,259.85,261.25,26419999,BHARTIARTL
