Train GT,Train preds,diff
1027.3,1041.5154,14.215332
1033.95,1038.7401,4.790161
1019.15,1036.6842,17.53418
981.7001,1030.8542,49.154175
993.75006,1013.79816,20.048096
994.35,1001.94006,7.590088
993.24994,995.72205,2.472107
985.1,993.03516,7.9351807
1015.15,989.9334,25.216614
1010.0,996.74475,13.255249
1017.74994,1003.545,14.204956
1032.55,1010.7447,21.805359
997.8,1020.55145,22.751465
983.19995,1017.42786,34.227905
977.9501,1006.1234,28.17334
975.35004,993.87463,18.524597
978.8,984.2755,5.475525
963.10004,979.50165,16.401611
978.95,973.1572,5.7927856
983.19995,972.8256,10.374329
1024.8,975.9561,48.843933
1013.99994,991.9988,22.00116
1009.80005,1004.83575,4.9642944
1004.1,1011.407,7.307007
990.35004,1011.903,21.552979
1008.75006,1005.81665,2.9334106
1016.45,1004.93097,11.519043
1021.60004,1008.55914,13.040894
1028.0499,1014.3409,13.709045
1067.9501,1021.1752,46.774902
1069.7,1038.991,30.708984
1076.95,1056.1154,20.834595
1092.05,1070.0342,22.01587
1073.9501,1083.3347,9.384644
1091.3999,1086.0573,5.3426514
1091.45,1089.7312,1.71875
1100.45,1092.6334,7.8165283
1093.2999,1097.3262,4.026245
1088.15,1098.6967,10.546631
1074.25,1096.5574,22.307373
1092.05,1089.0936,2.956421
1125.9,1088.1587,37.741333
1123.2,1101.4792,21.720703
1129.7001,1114.9791,14.720947
1106.5499,1126.2511,19.701172
1124.7001,1124.7673,0.06726074
1127.35,1125.1838,2.1661377
1120.9,1127.234,6.3339844
1090.7001,1126.9258,36.225708
1084.25,1115.2113,30.961304
1061.7999,1101.026,39.226074
1063.2,1083.2764,20.076416
1054.1,1070.7721,16.67212
1075.75,1061.337,14.412964
1088.2,1063.1879,25.012085
1071.25,1072.7303,1.4803467
1061.25,1076.4568,15.206787
1017.25,1073.4445,56.194458
1035.0499,1054.4886,19.43872
1033.6,1041.9062,8.306274
1023.75006,1035.2579,11.507874
1021.15,1029.6935,8.543457
1020.65,1025.4264,4.776367
1007.85,1022.797,14.9470215
1032.8,1017.5695,15.23053
1079.4,1020.84485,58.555176
1067.8,1041.0514,26.748657
1082.9501,1057.7916,25.158447
1071.8,1072.972,1.1719971
1043.65,1079.0186,35.36853
1016.55,1070.28,53.73004
1020.6,1050.1796,29.57959
998.65,1034.0745,35.42444
999.94995,1017.6996,17.749634
995.55,1006.7916,11.241638
1022.65,999.7794,22.870605
985.65,1004.57245,18.922424
1008.05005,1000.7646,7.2854614
1022.25,1001.9402,20.309814
1036.65,1008.92505,27.724976
1045.6,1020.4755,25.12445
1010.55,1033.0897,22.539734
1011.0499,1031.0541,20.00415
1030.8,1024.4844,6.315674
1031.2,1024.5787,6.621216
1007.75,1027.2086,19.458618
996.4,1022.54333,26.14331
1007.05,1013.16595,6.115967
1015.35,1008.3274,7.022583
1046.3999,1009.14923,37.25067
1063.5,1021.4648,42.035217
1066.1,1039.7943,26.305664
1057.95,1055.6704,2.279541
1071.4,1062.9722,8.427856
1054.35,1069.1406,14.790649
1065.65,1067.3086,1.6585693
1063.8,1066.8334,3.0333252
1058.7001,1066.4336,7.7335205
1052.0499,1064.4987,12.44873
1062.9501,1060.4214,2.5286865
1090.15,1060.4409,29.709106
1067.45,1070.932,3.4820557
1089.85,1074.4615,15.388428
1076.25,1081.6432,5.3931885
1068.95,1083.3452,14.395264
1068.3,1079.9629,11.662842
1073.9,1075.6034,1.7033691
1053.55,1074.2054,20.655396
1057.1001,1067.6095,10.509399
1057.6499,1062.4137,4.763794
1056.25,1059.6162,3.366211
1074.2999,1058.1403,16.159668
1070.4501,1063.5332,6.91687
1073.45,1068.4967,4.953247
1062.9501,1072.6819,9.731812
1056.0499,1071.7375,15.687622
1052.9501,1066.9171,13.967041
1058.4,1061.2502,2.8502197
1059.0,1058.9202,0.079833984
1060.4501,1058.7634,1.6866455
1053.1,1059.9178,6.817871
1053.5,1058.7678,5.2678223
1021.25,1057.2643,36.014282
1010.14996,1045.651,35.501038
1009.65,1030.6508,21.000732
1014.55,1019.14154,4.5915527
1027.75,1014.0031,13.746887
1016.05,1016.8169,0.76690674
1007.05,1017.9764,10.926392
1000.1,1015.3756,15.275635
993.60004,1010.0737,16.473694
987.89996,1003.4573,15.557312
983.25,996.67535,13.425354
972.6,990.49133,17.891357
979.10004,983.18164,4.081604
976.89996,979.606,2.7060547
970.65,977.7339,7.0838623
964.6,975.16736,10.567383
977.2,971.3262,5.8738403
