Date,Open,High,Low,Close,Volume,Name
2001-01-01,1210.0,1235.0,1210.0,1212.8,535,MRF
2001-01-02,1197.2,1215.0,1196.0,1202.8,691,MRF
2001-01-03,1220.0,1235.0,1220.0,1221.4,292,MRF
2001-01-04,1245.0,1249.95,1215.0,1215.1,434,MRF
2001-01-05,1203.0,1215.0,1201.6,1208.0,260,MRF
2001-01-08,1190.0,1203.0,1155.0,1193.6,203,MRF
2001-01-09,1198.0,1210.0,1196.5,1197.85,640,MRF
2001-01-10,1200.0,1204.0,1183.25,1194.1,1413,MRF
2001-01-11,1110.0,1200.0,1110.0,1185.0,2182,MRF
2001-01-12,1179.1,1189.0,1179.1,1185.45,357,MRF
2001-01-15,1190.0,1190.0,1165.05,1166.2,147,MRF
2001-01-16,1150.0,1182.0,1136.0,1175.85,648,MRF
2001-01-17,1204.05,1204.05,1160.0,1168.75,1127,MRF
2001-01-18,1141.0,1177.85,1140.0,1165.6,1924,MRF
2001-01-19,1140.0,1170.0,1133.0,1170.0,409,MRF
2001-01-22,1179.95,1179.95,1150.0,1151.05,135,MRF
2001-01-23,1152.0,1179.0,1151.1,1161.65,1177,MRF
2001-01-24,1188.0,1188.0,1158.0,1164.0,471,MRF
2001-01-25,1150.0,1190.0,1132.0,1175.9,556,MRF
2001-01-29,1131.05,1164.85,1131.05,1154.0,284,MRF
2001-01-30,1164.0,1167.0,1143.5,1151.25,720,MRF
2001-01-31,1146.0,1170.0,1146.0,1152.05,269,MRF
2001-02-01,1135.2,1158.0,1135.2,1154.0,331,MRF
2001-02-02,1146.0,1153.9,1136.0,1136.3,252,MRF
2001-02-05,1120.0,1125.0,1084.0,1092.2,1014,MRF
2001-02-06,1100.0,1105.0,1080.1,1084.05,504,MRF
2001-02-07,1021.0,1100.0,1021.0,1090.0,622,MRF
2001-02-08,1060.0,1086.0,1060.0,1079.7,771,MRF
2001-02-09,1085.0,1094.9,1080.0,1084.1,2020,MRF
2001-02-12,1095.0,1100.0,1068.5,1071.3,1882,MRF
2001-02-13,1072.0,1087.95,1032.05,1039.8,2168,MRF
2001-02-14,1105.0,1105.0,1048.0,1058.8,635,MRF
2001-02-15,1051.0,1064.95,998.0,1005.85,4198,MRF
2001-02-16,995.0,1027.0,988.1,999.75,1508,MRF
2001-02-19,991.0,1005.0,991.0,1005.0,695,MRF
2001-02-20,1000.0,1020.0,983.0,991.1,1462,MRF
2001-02-21,999.0,999.0,989.0,995.4,597,MRF
2001-02-22,999.0,999.0,970.0,986.2,659,MRF
2001-02-23,955.0,985.0,950.0,954.2,1010,MRF
2001-02-26,927.0,974.0,912.0,950.1,601,MRF
2001-02-27,950.9,951.0,876.0,905.45,2380,MRF
2001-02-28,907.0,948.9,905.05,930.2,1033,MRF
2001-03-01,936.5,947.0,900.0,901.6,1759,MRF
2001-03-02,840.0,904.0,835.0,885.95,730,MRF
2001-03-05,835.1,905.2,830.0,862.5,2243,MRF
2001-03-07,900.0,929.05,864.0,913.3,745,MRF
2001-03-08,920.0,920.0,890.0,895.45,336,MRF
2001-03-09,861.0,889.0,840.0,851.0,1040,MRF
2001-03-12,860.0,860.0,783.0,805.1,1391,MRF
2001-03-13,780.0,795.0,770.0,772.55,1427,MRF
2001-03-14,780.0,833.9,780.0,821.0,512,MRF
2001-03-15,835.0,874.0,825.0,846.8,349,MRF
2001-03-16,831.0,848.8,815.0,822.95,630,MRF
2001-03-19,815.0,831.0,815.0,820.25,366,MRF
