Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2450,2542.550049,2431,2542.550049,2395.026611,5572
2005-01-04,2575,2598,2530.300049,2550.050049,2402.091797,3620
2005-01-05,2540,2599,2422.550049,2577.300049,2427.76001,8347
2005-01-06,2535,2560,2470,2512.550049,2366.767578,2831
2005-01-07,2545,2555,2480,2498.949951,2353.957031,5054
2005-01-10,2549,2623.899902,2532,2623.899902,2471.656494,4582
2005-01-11,2660,2660,2510,2530.199951,2383.394043,5758
2005-01-12,2506,2569,2457.149902,2473.050049,2329.559082,4130
2005-01-13,2500,2545,2480,2498.800049,2353.815674,3489
2005-01-14,2500,2505,2440,2452.649902,2310.342041,2452
2005-01-17,2490,2499,2384,2399.850098,2260.606201,3013
2005-01-18,2460,2460,2381,2392.899902,2254.05957,1832
2005-01-19,2405,2437.949951,2380,2389.699951,2251.045654,2763
2005-01-20,2419,2419,2365,2398.199951,2259.05127,1413
2005-01-24,2366.5,2400,2330,2347.699951,2211.481201,1227
2005-01-25,2306,2365,2301,2345.199951,2209.127686,4397
2005-01-27,2315,2340,2295,2321.399902,2186.70752,1556
2005-01-28,2335,2405,2330,2389.800049,2251.139893,2159
2005-01-31,2380,2444,2380,2416.050049,2275.866699,2443
2005-02-01,2440,2487.899902,2399,2431.899902,2290.796387,2805
2005-02-02,2426,2450,2396,2411.800049,2271.863037,2339
2005-02-03,2428,2459,2405,2414.149902,2274.075439,1512
2005-02-04,2425,2643.899902,2425,2514.699951,2368.79248,6922
2005-02-07,2570,2639,2532,2598.050049,2447.305908,6976
2005-02-08,2648,2675,2601,2638.449951,2485.363037,5432
2005-02-09,2650,2760,2650,2725,2566.890381,11789
2005-02-10,2775,2800,2710,2740.100098,2581.11377,7808
2005-02-11,2798.25,2799,2710,2719.550049,2561.75708,10401
2005-02-14,2770,2819.949951,2749,2767.300049,2606.736328,6230
2005-02-15,2730,2785,2675.149902,2690.550049,2534.438232,4551
2005-02-16,2700,2738.75,2600,2616.649902,2464.82666,9392
2005-02-17,2650,2665,2574,2608.949951,2457.574219,5520
2005-02-18,2620,2698.899902,2620,2685.350098,2529.541016,4745
2005-02-21,2670,2710,2625,2683.399902,2527.704346,2437
2005-02-22,2694,2694,2630,2682.25,2526.620605,2178
2005-02-23,2704,2704,2631,2642.800049,2489.459717,3132
2005-02-24,2677,2688,2635,2637.300049,2484.278809,1643
2005-02-25,2675,2750,2660,2696.050049,2539.618896,8661
2005-02-28,2685,2860,2680.100098,2799.449951,2637.020752,19524
2005-03-01,2800,2940,2800,2866.300049,2699.993408,21058
2005-03-02,2924.949951,2925,2830,2853.300049,2687.746094,8230
2005-03-03,2860,2899,2850,2880.300049,2726.557617,3987
2005-03-04,2621.050049,3150,2621.050049,3072.600098,2908.592773,32056
2005-03-07,3150,3157,3075,3099.949951,2934.483154,9799
2005-03-08,3120,3185,3000,3110.5,2944.470459,9068
2005-03-09,3140,3160,3035,3106.449951,2940.637207,7124
2005-03-10,3124,3125,2981.25,2997.800049,2837.7854,6447
2005-03-11,2985,3060,2901.100098,2986.600098,2827.18335,6112
2005-03-14,3050,3050,2960,2966.199951,2807.873291,2945
2005-03-15,2985,3065,2875.199951,3029.600098,2867.887939,8617
2005-03-16,3098.899902,3125,3025,3053.350098,2890.371094,6070
2005-03-17,3037.850098,3060,3000,3022.75,2861.404297,3237
2005-03-18,2980,2999.949951,2905,2945.399902,2788.182861,6197
2005-03-21,3025,3025,2915,2976.399902,2817.528564,5882
2005-03-22,2990,2992,2940.050049,2950.199951,2792.727051,4080
2005-03-23,2905,2948,2905,2929.399902,2773.036377,4826
2005-03-24,2950,2970,2905,2927.350098,2771.096436,3851
2005-03-28,2997.550049,2997.550049,2920,2940.850098,2783.876221,2258
2005-03-29,2931,2950,2753.5,2802.949951,2653.336182,9434
2005-03-30,2820,2930,2820,2898.5,2743.786377,2190
2005-03-31,2930,2955,2900,2948.050049,2790.691406,1363
2005-04-01,2968,2980,2895,2912.75,2757.275635,3471
2005-04-04,2924,2930,2860,2881.399902,2727.599854,2013
2005-04-05,2949,2949.800049,2755,2768.350098,2620.583984,4073
2005-04-06,2775,2880,2775,2827.149902,2676.245117,6770
2005-04-07,2875,2875,2779,2793.100098,2644.012695,1704
2005-04-08,2829,2845,2745,2759.800049,2612.489502,2193
2005-04-11,2760,2776,2725,2735.699951,2589.677002,841
2005-04-12,2749,2801,2749,2767,2619.305176,851
2005-04-13,2775,2800,2721.600098,2761.649902,2614.23999,1839
2005-04-15,2711,2774,2691.050049,2704,2559.666992,4123
2005-04-18,2704,2704,2645,2684.949951,2541.634521,2127
2005-04-19,2745,2745,2686,2705.149902,2560.75708,2213
2005-04-20,2744,2751,2660,2704.449951,2560.09375,2370
2005-04-21,2706,2719.399902,2675,2698.699951,2554.651123,579
2005-04-22,2741,2749,2705.100098,2710.199951,2565.537109,773
2005-04-25,2785,2798.5,2640,2750.800049,2603.969971,866
2005-04-26,2720,2768.25,2720,2743.350098,2596.917969,533
2005-04-27,2740,2750,2701,2716.649902,2571.642578,489
2005-04-28,2740,2760,2705,2746.649902,2600.042236,567
2005-04-29,2740,2770,2602,2649.949951,2508.503174,2090
2005-05-02,2600,2630,2551,2570.100098,2432.914795,1944
2005-05-03,2500.100098,2579.949951,2470,2500.649902,2367.172363,1288
2005-05-04,2475.100098,2530,2475.100098,2501.300049,2367.787842,1513
2005-05-05,2540,2544,2501,2511.25,2377.206055,1978
2005-05-06,2505,2523,2500,2506.899902,2373.088623,565
2005-05-09,2538.800049,2755,2538.800049,2602.699951,2463.775635,1782
2005-05-10,2550,2594.899902,2511,2552.199951,2415.971191,867
