Date,Open,High,Low,Close,Volume,Name
2001-01-01,340,343.65,339,341.75,3008237,RELIANCE
2001-01-02,340.35,359,340.25,354.3,6623970,RELIANCE
2001-01-03,355,361.7,353,360.05,8844088,RELIANCE
2001-01-04,359.1,366.9,356.2,357.8,5982701,RELIANCE
2001-01-05,356.5,366.8,356.5,364.3,7460148,RELIANCE
2001-01-08,362.5,367.45,357.25,360.2,6842731,RELIANCE
2001-01-09,359.4,361.8,357.1,357.95,4513682,RELIANCE
2001-01-10,358.55,361.45,349.15,351.7,4730779,RELIANCE
2001-01-11,352.5,357.3,351,355.8,4070774,RELIANCE
2001-01-12,356.95,358.4,354,354.55,2402573,RELIANCE
2001-01-15,354.05,356.5,352,355.55,1977779,RELIANCE
2001-01-16,355.55,370.4,355.55,368.4,10397087,RELIANCE
2001-01-17,371.1,371.45,361.25,362.05,4164213,RELIANCE
2001-01-18,363,366.5,361.35,364.75,2730251,RELIANCE
2001-01-19,365.1,373.8,365.1,369.1,6563871,RELIANCE
2001-01-22,369,375.9,368.1,374.5,7587620,RELIANCE
2001-01-23,374.75,384.25,374.75,381.65,8274005,RELIANCE
2001-01-24,384.4,384.5,378.5,380.35,5461105,RELIANCE
2001-01-25,381.5,383.5,376.65,381.7,4489764,RELIANCE
2001-01-29,380,380,361,377.65,5074253,RELIANCE
2001-01-30,378.55,391,378.55,389.65,10513293,RELIANCE
2001-01-31,405,405,381,384.6,5900160,RELIANCE
2001-02-01,383.5,388.6,372.7,386.15,12741600,RELIANCE
2001-02-02,384.5,395.9,383.95,394.5,10129102,RELIANCE
2001-02-05,393.1,400.5,390.25,399.15,10670248,RELIANCE
2001-02-06,400,402.5,396.25,397.85,6048694,RELIANCE
2001-02-07,395.65,397.95,392,393.45,3637077,RELIANCE
2001-02-08,391.2,397.45,390.5,395.95,4783393,RELIANCE
2001-02-09,397,402,394.25,398.9,6970040,RELIANCE
2001-02-12,396.25,406.4,395.25,400.55,6589212,RELIANCE
2001-02-13,402,411.9,397.5,410.05,8532878,RELIANCE
2001-02-14,414.85,417.4,409.55,415.55,8956667,RELIANCE
2001-02-15,415,425.4,413,422.7,14706855,RELIANCE
2001-02-16,423.9,429.35,420,422.45,12684331,RELIANCE
2001-02-19,423,427.05,418.5,425.35,6365686,RELIANCE
2001-02-20,424,426.55,421,422.8,7155885,RELIANCE
2001-02-21,423.05,424.85,412.1,414.1,7890074,RELIANCE
2001-02-22,413,419,408.6,414.65,7787291,RELIANCE
