Date,Open,High,Low,Close,Volume,Name
2010-01-04,685.0,697.0,675.95,693.8,767166,WIPRO
2010-01-05,696.3,708.0,693.55,704.75,1120433,WIPRO
2010-01-06,706.0,710.0,687.0,690.5,1029382,WIPRO
2010-01-07,695.0,695.5,675.0,678.25,1031096,WIPRO
2010-01-08,679.0,680.0,666.0,668.05,642789,WIPRO
2010-01-11,667.0,681.1,656.25,661.4,1277525,WIPRO
2010-01-12,672.0,703.8,672.0,693.8,2338854,WIPRO
2010-01-13,696.95,720.0,688.45,715.6,2538808,WIPRO
2010-01-14,719.8,752.7,708.2,741.1,4383044,WIPRO
2010-01-15,723.0,746.6,722.0,735.9,3302495,WIPRO
2010-01-18,735.0,751.2,730.1,747.5,1799851,WIPRO
2010-01-19,755.85,755.85,730.1,738.95,922176,WIPRO
2010-01-20,750.0,750.0,721.55,726.55,2344389,WIPRO
2010-01-21,728.0,739.0,706.1,709.45,1928658,WIPRO
2010-01-22,700.0,715.0,695.55,700.05,1717686,WIPRO
2010-01-25,695.0,704.0,685.8,695.1,898483,WIPRO
2010-01-27,690.0,690.2,650.25,655.4,1848422,WIPRO
2010-01-28,674.0,688.8,655.5,673.45,1531589,WIPRO
2010-01-29,665.0,666.0,631.5,647.95,2210514,WIPRO
2010-02-01,643.75,674.7,633.1,668.3,1224195,WIPRO
2010-02-02,688.0,694.0,651.0,653.2,936220,WIPRO
2010-02-03,655.1,673.9,653.0,671.65,769763,WIPRO
2010-02-04,666.0,671.5,651.0,655.2,739314,WIPRO
2010-02-05,635.1,654.05,635.1,644.05,1420319,WIPRO
2010-02-06,640.0,653.0,640.0,648.1,54556,WIPRO
2010-02-08,643.5,650.0,630.15,636.2,1066849,WIPRO
2010-02-09,632.0,658.3,632.0,654.3,999924,WIPRO
2010-02-10,660.0,664.0,644.35,647.7,769139,WIPRO
2010-02-11,653.35,662.25,650.0,655.7,479044,WIPRO
2010-02-15,654.0,666.0,654.0,659.9,627911,WIPRO
2010-02-16,661.0,670.5,654.25,669.95,640257,WIPRO
2010-02-17,680.0,680.0,662.05,671.4,831526,WIPRO
2010-02-18,675.0,677.0,664.1,667.9,486424,WIPRO
2010-02-19,662.0,672.5,658.0,665.8,1440901,WIPRO
2010-02-22,667.0,680.5,665.2,668.15,443931,WIPRO
2010-02-23,666.9,679.2,661.0,676.35,553498,WIPRO
2010-02-24,678.0,680.95,668.75,672.2,816936,WIPRO
2010-02-25,677.0,682.0,665.15,669.4,960636,WIPRO
2010-02-26,671.1,688.1,665.0,677.5,730767,WIPRO
2010-03-02,675.0,703.0,675.0,701.25,1071441,WIPRO
2010-03-03,705.0,708.0,692.35,698.5,847091,WIPRO
2010-03-04,697.5,700.7,689.5,693.75,938007,WIPRO
2010-03-05,695.0,701.0,683.05,685.85,647301,WIPRO
2010-03-08,687.0,704.65,685.85,697.7,828407,WIPRO
2010-03-09,702.0,712.5,700.0,702.05,742189,WIPRO
2010-03-10,702.0,707.9,693.6,696.3,526087,WIPRO
2010-03-11,702.0,714.0,699.0,709.4,1126965,WIPRO
2010-03-12,714.8,716.9,707.4,710.05,957997,WIPRO
2010-03-15,715.0,731.0,708.0,728.65,1340014,WIPRO
2010-03-16,731.0,735.05,722.25,727.7,777028,WIPRO
2010-03-17,734.0,742.0,729.9,739.1,678102,WIPRO
2010-03-18,745.0,750.0,724.2,728.95,546634,WIPRO
2010-03-19,731.9,736.1,724.1,726.5,532244,WIPRO
2010-03-22,719.7,734.3,715.0,728.0,503196,WIPRO
2010-03-23,720.0,734.9,718.15,720.25,598038,WIPRO
2010-03-25,715.0,725.0,710.0,719.15,1055224,WIPRO
2010-03-26,726.0,729.15,712.25,717.5,602528,WIPRO
