actual,forecasts
1313.05,1323.75
1329.75,1313.05
1330.15,1329.75
1360.2,1330.15
1351.65,1360.2
1327.35,1351.65
1314.9,1327.35
1319.15,1314.9
1329.15,1319.15
1332.15,1329.15
1327.25,1332.15
1317.55,1327.25
1282.3,1317.55
1281.0,1282.3
1277.35,1281.0
1296.75,1277.35
1279.5,1296.75
1262.4,1279.5
1295.85,1262.4
1294.15,1295.85
1274.15,1294.15
1253.1,1274.15
1268.85,1253.1
1278.5,1268.85
1282.55,1278.5
1284.0,1282.55
1263.35,1284.0
1252.05,1263.35
1280.1,1252.05
1278.85,1280.1
1281.55,1278.85
1280.5,1281.55
1276.1,1280.5
1293.0,1276.1
1281.85,1293.0
1261.85,1281.85
1249.0,1261.85
1280.5,1249.0
1273.55,1280.5
1259.1,1273.55
1231.5,1259.1
1213.8,1231.5
1210.95,1213.8
1180.9,1210.95
1166.25,1180.9
1180.25,1166.25
1184.35,1180.25
1143.35,1184.35
1128.3,1143.35
1109.4,1128.3
1152.35,1109.4
1162.1,1152.35
1274.75,1162.1
1288.25,1274.75
1278.0,1288.25
1292.6,1278.0
1275.95,1292.6
1270.95,1275.95
1246.75,1270.95
1275.85,1246.75
1266.8,1275.85
1274.85,1266.8
1263.3,1274.85
1241.75,1263.3
1248.55,1241.75
1206.4,1248.55
1201.15,1206.4
1198.6,1201.15
1222.5,1198.6
1222.2,1222.5
1234.4,1222.2
1210.35,1234.4
1225.6,1210.35
1210.75,1225.6
1197.45,1210.75
1205.7,1197.45
1179.05,1205.7
1254.35,1179.05
1239.2,1254.35
1278.7,1239.2
1279.55,1278.7
1296.8,1279.55
1309.05,1296.8
1332.25,1309.05
1304.9,1332.25
1311.05,1304.9
1308.1,1311.05
1310.1,1308.1
1324.75,1310.1
1362.75,1324.75
1352.6,1362.75
1358.0,1352.6
1364.15,1358.0
1372.35,1364.15
1396.5,1372.35
1416.35,1396.5
1414.15,1416.35
1392.4,1414.15
1436.45,1392.4
1431.2,1436.45
1434.25,1431.2
1467.05,1434.25
1479.1,1467.05
1464.35,1479.1
1456.9,1464.35
1457.65,1456.9
1447.3,1457.65
1434.9,1447.3
1458.6,1434.9
1445.5,1458.6
1427.8,1445.5
1472.3,1427.8
1462.75,1472.3
1470.85,1462.75
1459.2,1470.85
1509.75,1459.2
1547.65,1509.75
1537.6,1547.65
1546.5,1537.6
1561.55,1546.5
1560.25,1561.55
1569.85,1560.25
1580.3,1569.85
1551.15,1580.3
1586.5,1551.15
1578.9,1586.5
1552.7,1578.9
1550.85,1552.7
1554.9,1550.85
1572.6,1554.9
1561.95,1572.6
1562.4,1561.95
1568.2,1562.4
1582.9,1568.2
1566.6,1582.9
1562.7,1566.6
1575.85,1562.7
1609.95,1575.85
1599.1,1609.95
1571.4,1599.1
1546.45,1571.4
1515.4,1546.45
1542.35,1515.4
1544.2,1542.35
1514.05,1544.2
1509.6,1514.05
1535.3,1509.6
1537.15,1535.3
1501.5,1537.15
1524.6,1501.5
1513.15,1524.6
1548.0,1513.15
1547.65,1548.0
1543.7,1547.65
1529.4,1543.7
1523.85,1529.4
1537.9,1523.85
1581.0,1537.9
1532.35,1581.0
1533.9,1532.35
1533.35,1533.9
1526.85,1533.35
1521.55,1526.85
1506.55,1521.55
1471.75,1506.55
1479.85,1471.75
1443.75,1479.85
1411.65,1443.75
1383.35,1411.65
1385.5,1383.35
1426.4,1385.5
1448.5,1426.4
1457.8,1448.5
1433.65,1457.8
1435.6,1433.65
1452.75,1435.6
1470.3,1452.75
1474.15,1470.3
1487.6,1474.15
1478.25,1487.6
1467.4,1478.25
1503.8,1467.4
1485.95,1503.8
1444.95,1485.95
1416.4,1444.95
1392.0,1416.4
1386.25,1392.0
1328.65,1386.25
1316.15,1328.65
1342.85,1316.15
1339.7,1342.85
1311.15,1339.7
1271.0,1311.15
1114.15,1271.0
1153.55,1114.15
1063.0,1153.55
1105.3,1063.0
1015.7,1105.3
1008.0,1015.7000000000002
968.5,1008.0
917.7,968.5
1017.95,917.7
884.05,1017.95
943.4,884.05
1082.25,943.4
1066.2,1082.25
1065.6,1066.2
1030.45,1065.6
1113.75,1030.45
1080.45,1113.75
1077.45,1080.45
1206.1,1077.45
1192.15,1206.1
1219.95,1192.15
1189.15,1219.95
1149.85,1189.15
1168.05,1149.85
1224.0,1168.05
1243.8,1224.0
1237.35,1243.8
1363.6,1237.35
1370.9,1363.6
1417.0,1370.9
1429.75,1417.0
1428.15,1429.75
1426.95,1428.15
1466.0,1426.95
1435.2,1466.0
1460.65,1435.2
1460.75,1460.65
1506.95,1460.75
1561.8,1506.95
1576.8,1561.8
1479.25,1576.8
1496.45,1479.25
1435.95,1496.45
1459.4,1435.9499999999998
1440.75,1459.4
1408.9,1440.75
1433.7,1408.9
1441.25,1433.7
1431.55,1441.25
1424.05,1431.55
1445.55,1424.05
1472.25,1445.55
1464.4,1472.25
1520.35,1464.4
1535.7,1520.35
1541.65,1535.7
1579.8,1541.65
1581.7,1579.8
1569.5,1581.7
1537.15,1569.5
1572.15,1537.15
1537.7,1572.15
1588.8,1537.7
1614.55,1588.8
1617.7,1614.55
1615.35,1617.7
1655.9,1615.35
1759.4,1655.9
1746.15,1759.4
