Train GT,Train preds,diff
87.47214,108.616714,21.144577
89.31024,108.1861,18.875854
89.68384,108.05648,18.372643
90.10227,108.0561,17.953827
88.96654,108.15022,19.183685
89.155815,108.11573,18.959915
89.29032,108.08978,18.799461
90.371284,108.08095,17.709663
89.449715,108.21172,18.762009
89.88808,108.236084,18.348007
89.91796,108.29624,18.37828
89.68384,108.35316,18.66932
92.29905,108.37221,16.073158
93.93292,108.70655,14.773628
94.25671,109.25449,14.997787
96.51822,109.81409,13.295868
95.66641,110.581406,14.914993
96.2542,111.16226,14.908058
96.617874,111.69363,15.075752
96.104774,112.16501,16.060234
95.36755,112.47823,17.11068
92.15459,112.609955,20.455368
93.135895,112.26819,19.132294
95.34263,111.995766,16.653137
98.68011,112.034904,13.354797
101.72868,112.55448,10.825798
107.50206,113.492134,5.990074
111.34763,115.12562,3.7779846
108.966576,117.15998,8.193405
109.47964,118.68624,9.206604
109.31525,119.94595,10.630707
109.58922,120.898605,11.309387
110.72996,121.6479,10.917946
112.67268,122.35999,9.687309
113.82338,123.18642,9.363037
113.0662,124.04864,10.982437
113.58426,124.68483,11.100571
112.58799,125.236786,12.648796
113.47468,125.53882,12.06414
115.213165,125.84584,10.632675
113.93296,126.316696,12.383736
114.19198,126.57845,12.386475
115.09359,126.79269,11.699097
116.12971,127.0692,10.939491
119.13347,127.445816,8.312347
119.14343,128.17867,9.035233
120.35387,128.87762,8.523758
127.248055,129.63231,2.3842545
127.522026,131.18483,3.6628036
129.91805,132.7043,2.786255
129.11604,134.32857,5.2125244
132.50334,135.60919,3.1058502
138.11732,137.06117,1.0561523
143.46227,139.05328,4.4089813
143.41245,141.57645,1.8359985
139.60672,143.83783,4.2311096
144.92677,145.18413,0.25735474
146.01271,146.81279,0.80007935
139.25803,148.34598,9.087952
142.62042,148.69116,6.0707397
140.72253,149.15688,8.434341
140.84708,149.25647,8.409393
138.6553,149.27072,10.6154175
136.88693,148.9448,12.057861
138.20198,148.345,10.143021
139.62665,147.94254,8.315887
142.8147,147.83218,5.0174866
143.38257,148.2521,4.8695374
144.10986,148.82042,4.710556
144.31406,149.45746,5.143402
148.07,150.04424,1.9742279
151.48221,151.04391,0.43829346
150.43613,152.44751,2.011383
145.81346,153.59422,7.7807617
146.5258,153.87401,7.3482056
145.0812,153.98943,8.908218
