Test set range,RMSE,R2-score,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 70,32.73021117611086,0.1767932657769935,2.5808684527873993,67.72314253880988,1591.8517441859901,29.832230883879756,0.9340116279069295,0.9511627906976764,634.7297481595775
70 : 140,48.98912207859261,0.020414330322054974,3.74080091714859,76.5931738408121,1680.5375415281746,40.164365251622954,0.951744186046463,0.951744186046463,740.495994102415
140 : 210,47.94697184781329,0.04290637043475709,3.686891868710518,74.79811082243992,1665.1924003321633,37.47246506837964,0.9546511627906489,0.9552325581395366,717.4322183001966
210 : 280,73.57601962638711,-1.155087550580825,5.529256537556648,81.5729712481846,1719.8527823919633,52.68791808020938,0.9895348837208788,0.9895348837208788,842.0735453719432
280 : 350,108.18433613946846,0.4477264508147647,6.856662034988403,80.19813922905423,1704.8390780730256,65.44413801825955,0.9590116279069276,0.9590116279069276,910.2389558769554
350 : 420,115.73365671607806,-0.6984196983061903,7.920540869235992,82.08664689125135,1723.9196013288404,67.48322393048635,0.9904069767441346,0.9904069767441346,945.593033025394
420 : 490,166.84211988808462,-6.273206608065601,10.545369237661362,82.37185771621886,1726.4121677740227,84.64529327283422,0.9999999999999478,0.9999999999999478,1094.77239791099
490 : 560,289.8584783993734,-10.516340363853828,15.973426401615143,82.28691773983047,1725.9121677740227,114.17343147440197,0.9999999999999478,0.9999999999999478,1330.7165420236995
560 : 630,546.81681119,-18.11669429566063,24.648860096931458,82.37185771621886,1726.4121677740227,166.8637148839654,0.9999999999999478,0.9999999999999478,1739.0551267055935
630 : 700,856.496278450759,-36.2485297141108,32.67104625701904,82.27011520072178,1725.6978820597371,216.95686588210145,0.9999999999999478,0.9999999999999478,2153.027789931016
700 : 770,1074.9092984991803,-162.8694354333804,37.377214431762695,82.37185771621886,1726.4121677740227,246.655509041776,0.9999999999999478,0.9999999999999478,2430.5885042167215
