Train GT,Train preds,diff
23.340002,23.998985,0.65898323
23.580002,23.830313,0.2503109
23.05,23.766367,0.7163677
22.940002,23.651236,0.71123314
22.31,23.525354,1.2153549
21.980001,23.306833,1.3268318
22.1,23.04465,0.94464874
22.000002,22.839176,0.8391743
21.51,22.669865,1.1598644
21.29,22.457298,1.1672974
21.85,22.23465,0.38464928
22.5,22.148409,0.3515911
22.5,22.230522,0.26947784
22.69,22.347311,0.3426895
22.88,22.488844,0.39115524
22.3,22.644762,0.3447628
22.55,22.673416,0.1234169
22.340002,22.70533,0.36532784
22.66,22.692362,0.032361984
22.68,22.726208,0.046207428
22.85,22.769674,0.08032608
22.400002,22.838844,0.43884277
22.809998,22.822676,0.012678146
22.000002,22.858717,0.85871506
22.29,22.757498,0.46749687
21.44,22.689333,1.2493324
20.75,22.490408,1.740408
20.75,22.172157,1.4221573
21.72,21.878426,0.15842628
21.26,21.814388,0.55438805
22.560001,21.746138,0.81386375
22.809998,21.922224,0.8877735
23.330002,22.177258,1.1527443
23.530003,22.504332,1.025671
24.65,22.82779,1.8222103
23.63,23.291216,0.33878326
24.140001,23.52611,0.6138916
24.17,23.745758,0.42424202
24.120003,23.92077,0.1992321
24.45,24.041483,0.40851784
23.71,24.182716,0.4727173
24.23,24.169582,0.060417175
25.110003,24.208738,0.9012642
24.940002,24.41103,0.5289726
25.58,24.593407,0.98659325
25.64,24.854523,0.7854767
25.99,25.099943,0.8900566
25.730001,25.359901,0.37010002
25.720001,25.527594,0.19240761
25.59,25.63519,0.045188904
26.54,25.67987,0.8601303
26.870003,25.870064,0.99993896
26.500002,26.126802,0.37319946
27.31,26.289799,1.0202007
27.450003,26.543827,0.9061756
28.68,26.800972,1.8790283
29.440002,27.23962,2.2003822
28.56,27.79125,0.76874924
27.96,28.112297,0.15229797
28.810001,28.192627,0.6173744
29.14,28.339973,0.80002594
29.350002,28.538555,0.81144714
29.28,28.75596,0.5240402
29.86,28.92537,0.93463135
30.360003,29.156834,1.2031689
30.71,29.456327,1.2536716
30.820002,29.78661,1.033392
29.96,30.085032,0.12503242
30.08,30.154789,0.07478905
30.940002,30.16357,0.77643204
30.72,30.311823,0.40817642
30.49,30.432945,0.05705452
31.04,30.481157,0.5588436
31.25,30.601116,0.6488838
30.42,30.759027,0.3390274
30.43,30.74243,0.31242943
30.55,30.677673,0.1276741
30.49,30.631325,0.141325
30.9,30.588343,0.31165695
32.05,30.632534,1.4174652
32.55,30.912537,1.6374626
32.27,31.307774,0.96222687
32.86,31.612272,1.2477283
33.92,31.943253,1.9767456
33.82,32.420586,1.3994141
34.69,32.83375,1.856247
35.1,33.31629,1.7837067
35.13,33.80619,1.3238106
33.76,34.210724,0.45072556
34.08,34.244686,0.1646843
34.54,34.216408,0.32359314
34.7,34.261024,0.4389763
34.7,34.35206,0.34794235
35.95,34.441086,1.508915
36.09,34.75441,1.3355904
35.07,35.10543,0.03543091
34.45,35.20357,0.75357056
34.8,35.081367,0.28136826
33.85,34.979603,1.1296043
34.3,34.720203,0.42020416
33.99,34.549877,0.5598755
34.4,34.38002,0.019981384
33.900005,34.323586,0.42358017
34.18,34.216984,0.03698349
34.21,34.16992,0.04007721
34.37,34.155712,0.2142868
34.13,34.18587,0.055870056
35.07,34.177826,0.89217377
35.4,34.340942,1.0590591
35.66,34.59,1.0699997
35.01,34.86971,0.1402893
35.76,34.978703,0.7812958
37.3,35.15765,2.1423492
37.29,35.62271,1.6672897
36.25,36.088417,0.16158295
35.04,36.26196,1.2219582
35.33,36.07088,0.74087906
34.43,35.856422,1.4264221
34.94,35.501637,0.5616379
34.86,35.272495,0.41249466
34.58,35.111813,0.53181076
35.47,34.9511,0.5189018
35.49,34.993828,0.49617386
35.240005,35.096153,0.14385223
35.06,35.150074,0.09007263
35.05,35.142765,0.09276581
33.36,35.11489,1.7548904
33.73,34.75874,1.0287399
32.76,34.440613,1.6806145
32.99,34.008076,1.018074
32.85,33.66988,0.81988144
32.99,33.399208,0.4092064
33.22,33.22977,0.00976944
33.64,33.16873,0.4712677
33.43,33.234226,0.19577408
33.900005,33.2867,0.61330414
33.66,33.415787,0.2442131
34.05,33.497044,0.5529556
34.190002,33.623222,0.5667801
34.830006,33.76539,1.0646172
34.6,34.009056,0.5909424
33.92,34.19322,0.27322006
33.74,34.19215,0.45214844
33.38,34.097546,0.71754456
33.26,33.921688,0.66168976
33.91,33.73172,0.17827988
34.22,33.699127,0.520874
34.7,33.782104,0.9178963
34.86,33.97904,0.8809624
34.68,34.205063,0.47493744
34.190002,34.361988,0.17198563
34.650005,34.37164,0.2783661
34.26,34.42127,0.16127014
33.38,34.39782,1.0178185
33.68,34.187023,0.50702286
34.0,34.01586,0.015861511
33.97,33.951008,0.018993378
34.6,33.9273,0.672699
34.66,34.04318,0.6168213
35.74,34.192,1.5480003
35.49,34.532074,0.9579277
34.99,34.818302,0.17169952
35.45,34.935997,0.51400375
34.87,35.065514,0.19551468
34.48,35.06024,0.58024216
34.190002,34.93859,0.74858856
34.650005,34.747177,0.09717178
34.33,34.659935,0.32993317
35.38,34.560753,0.8192482
35.02,34.681053,0.3389473
35.17,34.777245,0.3927536
35.55,34.877563,0.67243576
36.09,35.032364,1.0576363
35.61,35.279316,0.33068466
35.7,35.414692,0.28530884
35.52,35.50597,0.014030457
36.44,35.5295,0.9104996
36.78,35.706062,1.0739365
36.6,35.96326,0.6367378
36.84,36.162216,0.67778397
36.34,36.350418,0.010417938
36.6,36.4002,0.19979858
36.67,36.446934,0.22306442
34.98,36.496784,1.5167847
35.0,36.20899,1.2089882
34.77,35.874462,1.1044617
34.95,35.544827,0.59482574
35.55,35.317192,0.23280716
35.93,35.282806,0.6471939
35.84,35.39046,0.44953918
35.9,35.505474,0.39452744
36.71,35.61201,1.0979881
36.6,35.852135,0.74786377
36.530003,36.066612,0.46339035
36.31,36.21816,0.09184265
36.040005,36.276405,0.2364006
35.89,36.24058,0.35058212
36.040005,36.152393,0.11238861
35.89,36.094063,0.20406342
35.860004,36.02769,0.16768646
35.46,35.96628,0.5062828
35.41,35.84056,0.43056107
34.89,35.709286,0.81928635
34.76,35.500645,0.74064636
34.63,35.28341,0.65340805
35.0,35.080307,0.08030701
35.27,34.99309,0.27690887
35.530003,35.011795,0.51820755
35.51,35.111298,0.3987007
35.4,35.213326,0.18667603
35.66,35.27491,0.38508987
35.81,35.361767,0.44823456
35.8,35.468582,0.33141708
35.39,35.559322,0.16932297
34.96,35.547615,0.58761597
35.46,35.422005,0.037994385
34.830006,35.38142,0.5514145
34.67,35.253326,0.58332825
34.98,35.09251,0.11251068
35.09,35.01202,0.07798004
35.26,34.993965,0.26603317
35.72,35.032715,0.6872864
35.66,35.171196,0.48880386
35.650005,35.302822,0.34718323
35.78,35.405018,0.37498093
36.1,35.502785,0.59721375
36.17,35.642147,0.5278511
36.13,35.781387,0.34861374
36.22,35.885937,0.33406448
36.530003,35.976448,0.55355453
36.6,36.105125,0.49487305
36.73,36.23466,0.49533844
36.62,36.364876,0.25512314
36.55,36.44832,0.101680756
37.47,36.48685,0.9831505
38.02,36.683132,1.3368683
38.67,36.99953,1.6704674
38.76,37.421516,1.3384819
38.79,37.812943,0.9770584
38.9,38.123566,0.77643585
39.22,38.368195,0.85180664
38.92,38.60643,0.31356812
39.27,38.736897,0.53310394
39.09,38.87613,0.213871
40.1,38.95531,1.1446877
39.94,39.199413,0.7405853
39.6,39.41775,0.18224716
40.26,39.517887,0.7421112
40.030003,39.689655,0.3403473
39.12,39.805473,0.6854744
39.05,39.70064,0.6506424
38.89,39.53058,0.6405792
39.01,39.341568,0.33156967
39.13,39.208397,0.07839584
38.92,39.143692,0.22369385
38.96,39.072678,0.11267853
39.73,39.021313,0.7086868
39.51,39.13799,0.37200928
39.48,39.242985,0.23701477
40.27,39.317642,0.95235825
40.360004,39.52315,0.836853
40.16,39.748745,0.41125488
40.66,39.89709,0.76290894
40.48,40.089436,0.39056396
40.82,40.222443,0.59755707
40.57,40.377472,0.19252777
40.31,40.459457,0.14945602
40.2,40.449947,0.2499466
40.35,40.390503,0.040504456
40.56,40.356625,0.20337677
41.02,40.379986,0.64001465
41.53,40.509,1.0209999
41.67,40.748466,0.9215317
42.1,41.004612,1.0953865
42.6,41.300697,1.2993011
43.01,41.650623,1.359375
42.94,42.03089,0.9091072
42.47,42.331722,0.13827896
42.03,42.452263,0.4222641
41.31,42.40117,1.0911674
41.52,42.16071,0.6407089
40.93,41.94881,1.0188103
41.33,41.672558,0.342556
42.28,41.510384,0.7696152
42.02,41.60698,0.4130211
41.33,41.718197,0.38819504
40.8,41.673916,0.8739166
40.980003,41.480415,0.500412
40.74,41.31207,0.57206726
41.5,41.138657,0.36134338
41.25,41.149548,0.10045242
