Test set range,RMSE,R2-score,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 70,2.6771252897267495,0.5546566641731168,2.06713043153286,61.881121016654035,1358.646025135752,3.5779292076607727,0.977095262883939,0.9776158250910961,61.2499371668825
70 : 140,2.5878670399868673,0.5308003724194803,1.7143407836556435,62.5713034322664,1365.0515877147668,3.7056605922258186,0.977095262883939,0.977095262883939,62.626807664571665
140 : 210,3.3006688567218307,0.2608630099458725,2.3025915026664734,57.083706162389454,1316.4945340968582,2.8363392285966,0.9580947423217313,0.9690265486725639,53.43907193815868
210 : 280,2.800226856305993,0.592161413070316,2.103286050260067,60.493950858099446,1347.845207109427,3.3842731139219517,0.9734513274336526,0.9757938573659529,59.375917333604704
280 : 350,2.9902999143189106,0.4610728483457921,2.1267633885145187,63.34585596534869,1368.8301033688156,3.815737760629459,0.9783966684018984,0.9783966684018984,63.118486572767296
350 : 420,7.510548612059012,0.1456866412170129,5.172770097851753,67.54109015032165,1401.643526437159,5.947197846094022,0.988547631441982,0.988547631441982,78.90134234233388
420 : 490,9.993717508937177,0.7827816430108265,7.765951752662659,61.191656759730314,1328.3094370491892,5.069120662524826,0.9112441436751918,0.9112441436751918,66.65234440880985
490 : 560,4.746476723874584,0.30738075270970244,4.031328856945038,53.399728316092464,1269.395768572949,2.3173103925302034,0.9164497657470295,0.9250390421655351,46.55525952546771
560 : 630,2.864395819797883,-0.16501355435546894,2.3521723225712776,55.934499856854025,1303.9745073250836,2.5723733956573387,0.9593961478396907,0.9820406038521582,50.303204808501704
630 : 700,8.296849712326106,0.29727635381363926,5.1727451384067535,67.33056897250671,1399.3730497509086,5.822416081600558,0.9742321707444282,0.9742321707444282,76.55148544797709
700 : 770,22.551709244395422,-23.376423904540733,14.35050368309021,67.62642786423228,1403.2044619618107,8.969984540286003,1.0000000000000249,1.0000000000000249,105.02862832691879
770 : 840,23.807784607353877,-22.609557729835828,14.872023463249207,67.997846766223,1405.6330333903823,9.248171123069007,1.0000000000000249,1.0000000000000249,107.20820007810464
840 : 910,29.893954213772997,-36.71091628062555,17.944997549057007,67.91295071219,1405.1330333903823,10.102201883150926,1.0000000000000249,1.0000000000000249,114.84162859721751
