Test set range,RMSE,R2-score,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 70,1.7306160960962027,0.8138945734009682,1.2843215838074684,61.881121016654035,1358.646025135752,3.5779292076607727,0.977095262883939,0.9776158250910961,61.2499371668825
70 : 140,1.7439925076428733,0.7869100419473054,1.1989602819085121,62.5713034322664,1365.0515877147668,3.7056605922258186,0.977095262883939,0.977095262883939,62.626807664571665
140 : 210,2.337155946104657,0.6294077190237839,1.8330046907067299,57.083706162389454,1316.4945340968582,2.8363392285966,0.9580947423217313,0.9690265486725639,53.43907193815868
210 : 280,1.8132040695207037,0.8290003395345841,1.2863188050687313,60.493950858099446,1347.845207109427,3.3842731139219517,0.9734513274336526,0.9757938573659529,59.375917333604704
280 : 350,1.9219223885004912,0.7773758449281876,1.3641097582876682,63.34585596534869,1368.8301033688156,3.815737760629459,0.9783966684018984,0.9783966684018984,63.118486572767296
350 : 420,6.169057777711771,0.42361645200853215,4.249558970332146,67.54109015032165,1401.643526437159,5.947197846094022,0.988547631441982,0.988547631441982,78.90134234233388
420 : 490,7.341728808875752,0.8827699193895192,5.841313675045967,61.191656759730314,1328.3094370491892,5.069120662524826,0.9112441436751918,0.9112441436751918,66.65234440880985
490 : 560,3.785666416616169,0.5594080679176088,3.327810764312744,53.399728316092464,1269.395768572949,2.3173103925302034,0.9164497657470295,0.9250390421655351,46.55525952546771
560 : 630,2.6718131610339757,-0.013624326397344788,2.222222462296486,55.934499856854025,1303.9745073250836,2.5723733956573387,0.9593961478396907,0.9820406038521582,50.303204808501704
630 : 700,6.495770472168764,0.569255783250069,4.065926745533943,67.33056897250671,1399.3730497509086,5.822416081600558,0.9742321707444282,0.9742321707444282,76.55148544797709
700 : 770,16.508975275541406,-12.063251330074221,10.501600801944733,67.62642786423228,1403.2044619618107,8.969984540286003,1.0000000000000249,1.0000000000000249,105.02862832691879
770 : 840,17.343694573391165,-11.529484155684885,10.843879729509354,67.997846766223,1405.6330333903823,9.248171123069007,1.0000000000000249,1.0000000000000249,107.20820007810464
840 : 910,21.389754707460124,-18.306871414039897,12.829382717609406,67.91295071219,1405.1330333903823,10.102201883150926,1.0000000000000249,1.0000000000000249,114.84162859721751
