Train GT,Train preds,diff
2411.8005,2628.5662,216.76562
2414.1506,2632.2686,218.11792
2514.6995,2635.7156,121.01611
2598.0508,2648.8938,50.843018
2638.451,2672.593,34.14209
2725.001,2701.8032,23.197754
2740.099,2738.82,1.2790527
2719.549,2776.1704,56.621338
2767.2998,2807.4375,40.137695
2690.5493,2837.7163,147.16699
2616.6501,2855.9775,239.3274
2608.95,2860.037,251.08716
2685.3503,2857.1738,171.82349
2683.4,2859.3726,175.97266
2682.2507,2862.621,180.37036
2642.801,2865.8792,223.07812
2637.2996,2864.7158,227.41626
2696.051,2861.503,165.4519
2799.451,2863.737,64.28613
2866.2998,2878.2134,11.913574
2853.3013,2902.4963,49.19507
2880.301,2926.6187,46.317627
3072.601,2950.9963,121.60474
3099.9507,2992.4321,107.518555
3110.5,3038.095,72.40503
3106.45,3081.6372,24.812744
2997.8013,3119.042,121.24072
2986.5996,3138.476,151.87646
2966.201,3147.6162,181.41528
3029.6003,3149.0916,119.49121
3053.349,3153.7087,100.35962
3022.7512,3161.0427,138.2915
2945.4004,3165.367,219.96655
2976.4001,3160.0994,183.69922
2950.1997,3155.0398,204.84009
2929.3992,3147.5713,218.17212
2927.3494,3137.8992,210.5498
2940.849,3128.2366,187.38745
2802.95,3121.009,318.05908
2898.501,3101.244,202.74292
2948.0505,3089.1768,141.12622
2912.7502,3086.0725,173.32227
2881.4004,3083.1929,201.79248
2768.3494,3077.8096,309.4602
2827.1504,3060.565,233.41455
2793.1006,3047.02,253.91943
2759.8003,3032.5225,272.72217
2735.6992,3016.0745,280.37524
2766.9995,2998.3616,231.36206
2761.6492,2985.4412,223.79199
2703.9995,2975.1992,271.1997
2684.951,2961.4014,276.45044
2705.151,2946.1191,240.96826
2704.4512,2934.104,229.65283
2698.7012,2924.5571,225.85596
2710.201,2916.592,206.39111
2750.7996,2911.438,160.63843
2743.3499,2912.1755,168.82568
2716.6506,2914.3342,197.6836
2746.6504,2914.2798,167.6294
2649.9507,2916.5447,266.594
2570.1008,2909.4119,339.31104
2500.6511,2891.602,390.95093
2501.3013,2864.5835,363.28223
2511.25,2837.104,325.854
2506.9,2813.3315,306.43164
2602.7012,2793.252,190.55078
2552.2012,2786.826,234.62476
2532.4006,2781.1233,248.72266
2624.4001,2774.8394,150.43921
2546.501,2778.5913,232.09033
2554.9507,2777.6196,222.66895
2534.1997,2776.2625,242.06274
2531.3508,2772.6948,241.344
2506.401,2768.4368,262.0359
2512.6497,2761.8193,249.16968
2530.249,2755.741,225.49194
2549.099,2752.289,203.18994
2529.1497,2752.1638,223.01416
2532.599,2751.3315,218.73242
2522.7,2750.821,228.1211
2491.5513,2749.4946,257.94336
2505.2495,2744.8606,239.61108
2502.5,2740.943,238.44312
2490.4,2737.34,246.94019
2485.851,2733.0488,247.19775
2508.4507,2728.571,220.12036
2508.1506,2726.817,218.66626
2525.4001,2726.2563,200.8562
2541.9993,2728.0532,186.05396
2509.5005,2732.2239,222.72339
2506.751,2733.5737,226.82275
2499.001,2733.543,234.54199
2481.151,2732.1387,250.9878
2474.051,2728.5215,254.47046
2455.9006,2723.7505,267.84985
