Date,Open,High,Low,Close,Volume,Name
2010-01-04,996.8,1033.0,992.0,1023.0,317189,TECHM
2010-01-05,1034.0,1052.0,1029.1,1036.1,426652,TECHM
2010-01-06,1034.2,1049.0,1031.75,1041.2,210090,TECHM
2010-01-07,1043.0,1045.0,1009.95,1018.3,183747,TECHM
2010-01-08,1018.0,1052.8,1010.1,1045.1,520240,TECHM
2010-01-11,1050.0,1064.7,1032.1,1038.5,329930,TECHM
2010-01-12,1049.0,1063.9,1040.0,1045.55,328778,TECHM
2010-01-13,1035.0,1090.95,1030.0,1087.1,727612,TECHM
2010-01-14,1104.0,1104.0,1071.0,1081.45,340517,TECHM
2010-01-15,1100.0,1144.0,1086.0,1137.15,967714,TECHM
2010-01-18,1131.0,1154.0,1125.8,1137.05,302219,TECHM
2010-01-19,1076.5,1149.9,1076.5,1117.4,157430,TECHM
2010-01-20,1122.0,1144.0,1106.45,1120.1,164357,TECHM
2010-01-21,1115.0,1135.0,1081.35,1107.4,196877,TECHM
2010-01-22,1091.0,1158.0,1077.3,1137.65,544092,TECHM
2010-01-25,1130.0,1130.0,1025.6,1049.1,1075580,TECHM
2010-01-27,1040.0,1040.0,927.1,944.45,671501,TECHM
2010-01-28,958.5,1010.5,949.0,996.85,749301,TECHM
2010-01-29,976.0,993.0,937.7,972.5,328147,TECHM
2010-02-01,965.0,990.9,952.7,968.6,289706,TECHM
2010-02-02,973.9,997.8,942.25,948.8,295905,TECHM
2010-02-03,970.0,986.0,959.25,963.9,321629,TECHM
2010-02-04,959.9,967.8,935.8,943.65,236002,TECHM
2010-02-05,930.1,955.0,906.0,936.7,213528,TECHM
2010-02-06,941.0,951.0,936.0,942.45,27121,TECHM
2010-02-08,945.0,961.25,925.0,943.05,156412,TECHM
2010-02-09,922.1,954.4,922.1,942.0,134805,TECHM
2010-02-10,948.0,964.0,928.15,932.95,147005,TECHM
2010-02-11,952.0,956.1,936.0,940.7,109290,TECHM
2010-02-15,942.0,956.2,940.1,947.95,98056,TECHM
2010-02-16,956.0,956.0,941.0,949.9,104088,TECHM
2010-02-17,958.0,971.0,954.0,959.8,206810,TECHM
2010-02-18,964.9,974.6,951.65,958.9,127291,TECHM
2010-02-19,953.0,956.65,932.0,940.15,110230,TECHM
2010-02-22,955.15,957.45,933.9,940.55,104530,TECHM
2010-02-23,931.0,937.0,920.0,928.5,122335,TECHM
2010-02-24,921.05,940.4,913.25,917.95,173981,TECHM
2010-02-25,922.0,931.0,898.35,907.45,219033,TECHM
2010-02-26,924.2,924.2,882.25,890.85,404739,TECHM
2010-03-02,901.0,907.3,890.6,897.15,206565,TECHM
2010-03-03,904.0,912.0,899.0,909.0,133190,TECHM
2010-03-04,911.25,922.65,905.0,918.5,315465,TECHM
2010-03-05,924.95,944.9,918.85,931.7,552560,TECHM
