Test set range,RMSE,R2-score,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 70,24.847719808616244,0.5255565761907042,1.957762986421585,67.72314253880988,1591.8517441859901,29.832230883879756,0.9340116279069295,0.9511627906976764,634.7297481595775
70 : 140,31.121781883709478,0.604658859062675,2.16866098344326,76.5931738408121,1680.5375415281746,40.164365251622954,0.951744186046463,0.951744186046463,740.495994102415
140 : 210,26.349113018011394,0.7109559266033745,1.649138517677784,74.79811082243992,1665.1924003321633,37.47246506837964,0.9546511627906489,0.9552325581395366,717.4322183001966
210 : 280,36.73173141540482,0.4628752402806784,2.524404600262642,81.5729712481846,1719.8527823919633,52.68791808020938,0.9895348837208788,0.9895348837208788,842.0735453719432
280 : 350,82.02649986246823,0.6825072657203608,5.179344117641449,80.19813922905423,1704.8390780730256,65.44413801825955,0.9590116279069276,0.9590116279069276,910.2389558769554
350 : 420,82.45738127397995,0.13784620871280173,5.439271405339241,82.08664689125135,1723.9196013288404,67.48322393048635,0.9904069767441346,0.9904069767441346,945.593033025394
420 : 490,133.10426041500324,-3.6291206676691745,7.957741618156433,82.37185771621886,1726.4121677740227,84.64529327283422,0.9999999999999478,0.9999999999999478,1094.77239791099
490 : 560,284.0612830006934,-10.060290915062573,15.46175330877304,82.28691773983047,1725.9121677740227,114.17343147440197,0.9999999999999478,0.9999999999999478,1330.7165420236995
560 : 630,620.0057963438729,-23.57653490783157,27.79446244239807,82.37185771621886,1726.4121677740227,166.8637148839654,0.9999999999999478,0.9999999999999478,1739.0551267055935
630 : 700,1014.9653319202582,-51.307091615150874,38.656339049339294,82.27011520072178,1725.6978820597371,216.95686588210145,0.9999999999999478,0.9999999999999478,2153.027789931016
700 : 770,1287.4583973861058,-234.08273026235776,44.77345645427704,82.37185771621886,1726.4121677740227,246.655509041776,0.9999999999999478,0.9999999999999478,2430.5885042167215
