Test set range,RMSE,R2-score,MAPE,Wasserstein_dist,rmse_ratio,mape_ratio,Robust_rmse,Robust_mape
0 : 70,24.847719808616244,0.5255565761907042,1.957762986421585,634.7297481595775,0.39,0.42,True,True
70 : 140,31.121781883709478,0.604658859062675,2.16866098344326,740.495994102415,0.45,0.49,True,True
140 : 210,26.349113018011394,0.7109559266033745,1.649138517677784,717.4322183001966,0.44,0.47,True,True
210 : 280,36.73173141540482,0.4628752402806784,2.524404600262642,842.0735453719432,0.52,0.55,True,True
280 : 350,82.02649986246823,0.6825072657203608,5.179344117641449,910.2389558769554,0.56,0.6,True,True
350 : 420,82.45738127397995,0.13784620871280173,5.439271405339241,945.593033025394,0.58,0.62,True,True
420 : 490,133.10426041500324,-3.6291206676691745,7.957741618156433,1094.77239791099,0.67,0.72,True,True
490 : 560,284.0612830006934,-10.060290915062573,15.46175330877304,1330.7165420236995,0.82,0.88,True,True
560 : 630,620.0057963438729,-23.57653490783157,27.79446244239807,1739.0551267055935,1.07,1.15,False,False
630 : 700,1014.9653319202582,-51.307091615150874,38.656339049339294,2153.027789931016,1.32,1.42,False,False
700 : 770,1287.4583973861058,-234.08273026235776,44.77345645427704,2430.5885042167215,1.49,1.6,False,False
