Test set range,RMSE,R2-score,MAPE,Wasserstein_dist,rmse_ratio,mape_ratio,Robust_rmse,Robust_mape
0 : 70,2.2299006552014533,0.6910212528857005,1.6767391934990883,61.2499371668825,0.63,0.63,True,True
70 : 140,2.3199815096611607,0.6229120026605885,1.5946542844176292,62.626807664571665,0.64,0.65,True,True
140 : 210,2.5298786922819745,0.5657694382965714,1.8086541444063187,53.43907193815868,0.55,0.55,True,True
210 : 280,2.4148208760239855,0.6967005372491482,1.767149195075035,59.375917333604704,0.61,0.61,True,True
280 : 350,2.4290718696989684,0.6443839799688502,1.644052006304264,63.118486572767296,0.65,0.65,True,True
350 : 420,3.2811856218107858,0.8369444787042849,2.2808296605944633,78.90134234233388,0.81,0.81,True,True
420 : 490,7.156901367394774,0.8885981422993866,5.15342652797699,66.65234440880985,0.68,0.69,True,True
490 : 560,4.115728188439825,0.47923090213226527,3.351164609193802,46.55525952546771,0.48,0.48,True,True
560 : 630,2.4287964392054193,0.16237987458413827,2.046873979270458,50.303204808501704,0.52,0.52,True,True
630 : 700,5.114609210019454,0.7329558622819436,3.032369539141655,76.55148544797709,0.78,0.79,True,True
700 : 770,10.401521908837164,-4.185669126781263,6.40212818980217,105.02862832691879,1.08,1.08,False,False
770 : 840,10.76192504906621,-3.8242506476890323,6.358657032251358,107.20820007810464,1.1,1.11,False,False
840 : 910,14.770300392396921,-8.206169544080232,8.632298558950424,114.84162859721751,1.18,1.19,False,False
