Test set range,RMSE,R2-score,MAPE,Wasserstein_dist,rmse_ratio,mape_ratio,Robust_rmse,Robust_mape
0 : 70,1641.1995612965536,0.3957276832201768,2.0521631464362144,46034.54628138644,0.89,0.87,True,True
70 : 140,2082.1765054865064,0.6537220753844559,2.9148582369089127,39839.511448303245,0.77,0.76,True,True
140 : 210,1108.6437660493114,0.14728190612372916,1.5242640860378742,37749.08213773612,0.73,0.72,True,True
210 : 280,1711.4828366068998,0.6539970675053265,2.1234529092907906,42509.86193453435,0.82,0.81,True,True
280 : 350,1403.8901755479308,0.8079934132453412,1.7121633514761925,47227.48149204087,0.91,0.9,True,True
350 : 420,2618.170162537187,0.29472167396696647,3.1864210963249207,40807.72977784349,0.79,0.78,True,True
420 : 490,1568.9681322448841,0.721034089086266,2.1222811192274094,42594.38017214638,0.82,0.81,True,True
490 : 560,2331.2229623096973,0.907365554169259,2.4382568895816803,50659.91934903799,0.98,0.96,True,True
560 : 630,5426.6787264403265,-0.7451518039426002,5.098624154925346,66415.31891171224,1.28,1.26,False,False
630 : 700,2378.4185922583097,-0.5690716311369586,2.4071447551250458,60885.644469748186,1.17,1.16,False,False
700 : 770,2390.0806471749024,-0.20287703082365605,2.0564164966344833,59941.64435814103,1.16,1.14,False,False
